"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed
"(18, 26)","(25, 51)","(43, 57)","(56, 47)","(50, 29)","(33, 21)","(36, 39)",9.4 km/h
"(17, 27)","(25, 51)","(42, 58)","(55, 49)","(49, 29)","(33, 21)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 45)","(41, 55)","(27, 49)","(36, 38)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(55, 49)","(48, 28)","(35, 22)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(56, 47)","(50, 29)","(35, 22)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(55, 49)","(50, 29)","(33, 21)","(36, 39)",9.4 km/h
"(21, 28)","(34, 24)","(45, 29)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(34, 24)","(43, 28)","(53, 46)","(42, 55)","(27, 49)","(19, 31)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(19, 26)","(25, 51)","(43, 58)","(55, 49)","(49, 29)","(36, 22)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(56, 47)","(52, 32)","(40, 24)","(36, 39)",9.4 km/h
"(19, 26)","(25, 51)","(42, 58)","(55, 49)","(49, 29)","(36, 22)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 45)","(41, 55)","(27, 49)","(36, 38)",9.4 km/h
"(34, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(19, 31)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(55, 48)","(50, 29)","(36, 22)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(55, 49)","(50, 29)","(36, 22)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(55, 48)","(48, 28)","(36, 22)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(55, 49)","(50, 29)","(36, 22)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(55, 49)","(50, 29)","(33, 21)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(56, 47)","(50, 29)","(36, 22)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(44, 57)","(55, 49)","(50, 29)","(36, 22)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 45)","(41, 55)","(27, 49)","(36, 38)",9.4 km/h
"(33, 24)","(45, 29)","(52, 47)","(41, 55)","(27, 49)","(19, 32)","(36, 39)",9.4 km/h
"(33, 24)","(45, 29)","(52, 47)","(41, 55)","(27, 49)","(19, 32)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(56, 47)","(51, 30)","(36, 22)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(55, 49)","(51, 30)","(36, 22)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(56, 47)","(51, 31)","(31, 21)","(36, 39)",9.4 km/h
"(17, 27)","(25, 51)","(43, 57)","(56, 47)","(51, 31)","(31, 21)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(17, 27)","(25, 51)","(41, 58)","(56, 47)","(50, 29)","(34, 21)","(36, 39)",9.4 km/h
"(34, 24)","(46, 30)","(53, 46)","(41, 55)","(27, 49)","(19, 31)","(36, 39)",9.4 km/h
"(21, 28)","(34, 24)","(46, 30)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(34, 24)","(46, 30)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(41, 58)","(55, 49)","(50, 29)","(36, 22)","(36, 39)",9.4 km/h
"(19, 26)","(25, 51)","(42, 58)","(55, 49)","(50, 29)","(36, 22)","(36, 39)",9.4 km/h
"(17, 27)","(25, 51)","(41, 58)","(56, 47)","(50, 29)","(34, 21)","(36, 39)",9.4 km/h
"(17, 27)","(25, 51)","(42, 58)","(56, 47)","(50, 29)","(34, 21)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(17, 27)","(25, 51)","(43, 57)","(55, 48)","(51, 30)","(42, 25)","(36, 39)",9.4 km/h
"(33, 24)","(45, 29)","(53, 46)","(41, 55)","(27, 49)","(19, 32)","(36, 39)",9.4 km/h
"(33, 24)","(45, 29)","(53, 46)","(41, 55)","(27, 49)","(19, 32)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 45)","(41, 55)","(27, 49)","(36, 38)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(55, 49)","(50, 29)","(34, 21)","(36, 39)",9.4 km/h
"(34, 24)","(45, 29)","(52, 47)","(41, 55)","(27, 49)","(19, 31)","(36, 39)",9.4 km/h
"(34, 24)","(45, 29)","(53, 46)","(41, 55)","(27, 49)","(19, 31)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(56, 47)","(50, 29)","(34, 21)","(36, 39)",9.4 km/h
"(19, 26)","(25, 51)","(43, 57)","(56, 47)","(50, 29)","(33, 21)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 38)",9.4 km/h
"(34, 24)","(45, 29)","(53, 46)","(41, 55)","(27, 49)","(19, 31)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(55, 48)","(48, 28)","(36, 22)","(35, 39)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(55, 49)","(48, 28)","(36, 22)","(36, 39)",9.4 km/h
"(18, 26)","(26, 52)","(43, 57)","(56, 47)","(50, 29)","(35, 22)","(36, 39)",9.4 km/h
"(17, 27)","(26, 52)","(43, 58)","(55, 49)","(50, 29)","(35, 22)","(36, 39)",9.4 km/h
"(21, 28)","(34, 24)","(46, 30)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(41, 58)","(55, 49)","(49, 29)","(36, 22)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(56, 47)","(51, 31)","(40, 24)","(36, 39)",9.4 km/h
"(33, 24)","(46, 30)","(52, 47)","(41, 55)","(27, 49)","(19, 32)","(36, 39)",9.4 km/h
"(33, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(19, 32)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(17, 27)","(25, 51)","(44, 57)","(55, 49)","(49, 29)","(33, 21)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(56, 47)","(51, 30)","(33, 21)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(56, 47)","(51, 30)","(33, 21)","(36, 39)",9.4 km/h
"(32, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(19, 32)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(40, 58)","(56, 47)","(51, 31)","(40, 24)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(33, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(19, 32)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(55, 48)","(48, 28)","(33, 21)","(35, 38)",9.4 km/h
"(33, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(19, 32)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(40, 58)","(56, 47)","(51, 31)","(31, 21)","(35, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(56, 47)","(51, 30)","(33, 21)","(36, 39)",9.4 km/h
"(21, 28)","(34, 24)","(45, 29)","(52, 47)","(41, 55)","(27, 49)","(36, 38)",9.4 km/h
"(21, 28)","(34, 24)","(45, 29)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(34, 24)","(45, 29)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(30, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(56, 47)","(52, 32)","(40, 24)","(35, 39)",9.4 km/h
"(18, 26)","(25, 51)","(44, 57)","(56, 47)","(51, 31)","(40, 24)","(35, 39)",9.4 km/h
"(18, 26)","(25, 51)","(44, 57)","(56, 47)","(51, 31)","(40, 24)","(35, 39)",9.4 km/h
"(18, 26)","(25, 51)","(44, 57)","(56, 47)","(51, 31)","(40, 24)","(35, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(34, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(56, 47)","(52, 32)","(40, 24)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(44, 57)","(56, 47)","(52, 32)","(40, 24)","(35, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 46)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(43, 28)","(53, 45)","(41, 55)","(27, 49)","(36, 38)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(21, 28)","(31, 24)","(50, 34)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
"(17, 27)","(25, 51)","(42, 58)","(56, 47)","(51, 30)","(31, 21)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(56, 47)","(51, 30)","(35, 22)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(42, 58)","(56, 47)","(51, 31)","(40, 24)","(36, 39)",9.4 km/h
"(18, 26)","(25, 51)","(43, 57)","(56, 47)","(51, 31)","(40, 24)","(35, 39)",9.4 km/h
"(21, 28)","(33, 24)","(46, 30)","(52, 47)","(41, 55)","(27, 49)","(36, 39)",9.4 km/h
