Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
2025:01:23_16:23,2025:01:23_16:23,1s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:23,2s,1,0,0,0.0
"(41, 28)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:24,3s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,5s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,6s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,7s,1,0,0,0.0
"(40, 30)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,8s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(77, 31)","(59, 24)",
2025:01:23_16:23,2025:01:23_16:24,9s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 59)","(78, 32)","(60, 24)",
2025:01:23_16:23,2025:01:23_16:24,10s,1,0,0,0.0
"(42, 34)","(57, 28)","(78, 38)","(77, 54)","(59, 59)","(41, 48)",
"(63, 24)","(39, 32)","(39, 52)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:24,11s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,12s,1,0,0,0.0
"(40, 29)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,13s,1,0,0,0.0
"(42, 34)","(57, 28)","(73, 33)","(77, 54)","(59, 59)","(41, 48)",
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,14s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:24,15s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:24,16s,1,0,0,0.0
"(43, 34)","(58, 28)","(73, 33)","(77, 54)","(59, 59)","(41, 48)",
"(62, 24)","(39, 32)","(38, 49)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:24,17s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(77, 31)","(60, 24)",
2025:01:23_16:23,2025:01:23_16:24,18s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,19s,1,0,0,0.0
"(42, 34)","(58, 28)","(73, 33)","(77, 54)","(59, 59)","(46, 53)",
2025:01:23_16:23,2025:01:23_16:24,20s,1,0,0,0.0
"(40, 29)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,21s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,22s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:24,23s,1,0,0,0.0
"(40, 30)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(63, 25)",
2025:01:23_16:23,2025:01:23_16:24,24s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,25s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,26s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,27s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,29s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(77, 31)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,30s,1,0,0,0.0
"(42, 34)","(57, 28)","(75, 34)","(77, 54)","(53, 57)","(42, 49)",
2025:01:23_16:23,2025:01:23_16:24,31s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,32s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,33s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,34s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,35s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:24,36s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:24,37s,1,0,0,0.0
"(40, 29)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,38s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:24,39s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(63, 25)",
2025:01:23_16:23,2025:01:23_16:24,40s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(77, 31)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,41s,1,0,0,0.0
"(40, 30)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,42s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,43s,1,0,0,0.0
"(40, 30)","(41, 54)","(55, 61)","(81, 55)","(79, 32)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:24,44s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(60, 24)",
2025:01:23_16:23,2025:01:23_16:24,45s,1,0,0,0.0
"(63, 24)","(39, 31)","(39, 52)","(55, 61)","(81, 55)","(79, 32)",
2025:01:23_16:23,2025:01:23_16:24,46s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,47s,1,0,0,0.0
"(40, 29)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,48s,1,0,0,0.0
"(42, 34)","(58, 28)","(73, 33)","(77, 54)","(57, 58)","(41, 48)",
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(76, 31)","(57, 25)",
2025:01:23_16:23,2025:01:23_16:24,49s,1,0,0,0.0
"(42, 34)","(58, 28)","(73, 33)","(77, 54)","(59, 59)","(41, 48)",
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:24,50s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,51s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,52s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,53s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,54s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,56s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,57s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,58s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,59s,1,0,0,0.0
"(42, 34)","(57, 28)","(73, 33)","(77, 54)","(59, 59)","(41, 48)",
2025:01:23_16:23,2025:01:23_16:24,60s,1,0,0,0.0
"(43, 34)","(58, 28)","(73, 33)","(78, 52)","(59, 59)","(41, 48)",
"(62, 24)","(39, 32)","(39, 52)","(55, 61)","(81, 55)","(81, 36)",
2025:01:23_16:23,2025:01:23_16:24,61s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(77, 31)","(59, 24)",
2025:01:23_16:23,2025:01:23_16:24,62s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,63s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:25,64s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,65s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(77, 31)","(60, 24)",
2025:01:23_16:23,2025:01:23_16:25,66s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:25,67s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,68s,1,0,0,0.0
"(63, 24)","(39, 32)","(39, 52)","(55, 61)","(81, 55)","(79, 32)",
2025:01:23_16:23,2025:01:23_16:25,69s,1,0,0,0.0
"(62, 24)","(39, 32)","(39, 52)","(55, 61)","(81, 55)","(79, 32)",
2025:01:23_16:23,2025:01:23_16:25,70s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,71s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,72s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,73s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,74s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,75s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,76s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,77s,1,0,0,0.0
"(42, 34)","(64, 28)","(77, 37)","(77, 54)","(59, 59)","(41, 48)",
2025:01:23_16:23,2025:01:23_16:25,78s,1,0,0,0.0
"(40, 29)","(39, 52)","(55, 61)","(80, 57)","(79, 33)","(63, 25)",
2025:01:23_16:23,2025:01:23_16:25,79s,1,0,0,0.0
"(42, 34)","(58, 28)","(73, 33)","(77, 54)","(60, 59)","(41, 48)",
"(40, 30)","(39, 52)","(55, 61)","(80, 57)","(79, 32)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:25,80s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:25,81s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,83s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,84s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:25,85s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,86s,1,0,0,0.0
"(63, 24)","(39, 32)","(39, 51)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:25,87s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(77, 31)","(61, 24)",
2025:01:23_16:23,2025:01:23_16:25,88s,1,0,0,0.0
"(63, 24)","(39, 32)","(39, 52)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:25,89s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,90s,1,0,0,0.0
"(42, 34)","(63, 28)","(77, 37)","(78, 52)","(56, 58)","(41, 48)",
2025:01:23_16:23,2025:01:23_16:25,91s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,92s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,93s,1,0,0,0.0
"(42, 29)","(41, 54)","(61, 62)","(80, 57)","(79, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:25,94s,1,0,0,0.0
"(62, 24)","(39, 31)","(39, 52)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:25,95s,1,0,0,0.0
"(42, 34)","(58, 28)","(75, 34)","(77, 54)","(59, 59)","(41, 48)",
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:25,96s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:25,97s,1,0,0,0.0
"(40, 30)","(41, 54)","(56, 62)","(81, 55)","(79, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:25,98s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:25,99s,1,0,0,0.0
"(40, 30)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(60, 24)",
2025:01:23_16:23,2025:01:23_16:25,100s,1,0,0,0.0
"(39, 32)","(39, 51)","(59, 62)","(80, 57)","(79, 33)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:25,101s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:25,102s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(76, 31)","(58, 25)",
2025:01:23_16:23,2025:01:23_16:25,103s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,104s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,105s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,106s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,107s,1,0,0,0.0
"(40, 30)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(63, 25)",
2025:01:23_16:23,2025:01:23_16:25,108s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:25,109s,1,0,0,0.0
"(63, 24)","(39, 32)","(39, 52)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:25,110s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,111s,1,0,0,0.0
"(62, 24)","(39, 31)","(39, 52)","(55, 61)","(81, 55)","(79, 32)",
2025:01:23_16:23,2025:01:23_16:25,112s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:25,113s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:25,115s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(63, 25)",
2025:01:23_16:23,2025:01:23_16:25,116s,1,0,0,0.0
"(63, 24)","(39, 32)","(40, 53)","(59, 62)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:25,117s,1,0,0,0.0
"(40, 30)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(60, 24)",
2025:01:23_16:23,2025:01:23_16:25,118s,1,0,0,0.0
"(42, 34)","(63, 28)","(77, 36)","(78, 52)","(59, 59)","(41, 48)",
2025:01:23_16:23,2025:01:23_16:25,119s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:25,120s,1,0,0,0.0
"(39, 32)","(41, 54)","(60, 62)","(80, 57)","(79, 33)","(63, 25)",
2025:01:23_16:23,2025:01:23_16:25,121s,1,0,0,0.0
"(42, 34)","(58, 28)","(73, 33)","(77, 54)","(58, 59)","(41, 48)",
2025:01:23_16:23,2025:01:23_16:25,122s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:25,123s,1,0,0,0.0
"(42, 35)","(64, 28)","(77, 36)","(77, 54)","(59, 59)","(46, 53)",
2025:01:23_16:23,2025:01:23_16:26,124s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(60, 24)",
2025:01:23_16:23,2025:01:23_16:26,125s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(60, 24)",
2025:01:23_16:23,2025:01:23_16:26,126s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,127s,1,0,0,0.0
"(62, 24)","(39, 32)","(40, 53)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:26,128s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,129s,1,0,0,0.0
"(40, 30)","(39, 52)","(55, 61)","(80, 57)","(77, 31)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:26,130s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,131s,1,0,0,0.0
"(63, 24)","(39, 31)","(40, 53)","(55, 61)","(81, 55)","(79, 32)",
2025:01:23_16:23,2025:01:23_16:26,132s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,133s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:26,134s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,135s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(77, 31)","(57, 25)",
2025:01:23_16:23,2025:01:23_16:26,136s,1,0,0,0.0
"(63, 24)","(39, 32)","(39, 52)","(55, 61)","(81, 55)","(79, 32)",
2025:01:23_16:23,2025:01:23_16:26,137s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,138s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,139s,1,0,0,0.0
"(42, 34)","(64, 28)","(77, 36)","(78, 52)","(56, 58)","(41, 48)",
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:26,140s,1,0,0,0.0
"(40, 30)","(42, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:26,141s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,142s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(81, 55)","(79, 32)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:26,143s,1,0,0,0.0
"(42, 34)","(58, 28)","(73, 33)","(77, 54)","(59, 59)","(46, 53)",
2025:01:23_16:23,2025:01:23_16:26,144s,1,0,0,0.0
"(42, 34)","(58, 28)","(73, 33)","(77, 54)","(59, 59)","(41, 48)",
2025:01:23_16:23,2025:01:23_16:26,145s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,147s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,148s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,149s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,150s,1,0,0,0.0
"(40, 30)","(41, 54)","(55, 61)","(81, 55)","(79, 32)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:26,151s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,152s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(81, 55)","(79, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:26,153s,1,0,0,0.0
"(63, 24)","(39, 32)","(41, 54)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:26,154s,1,0,0,0.0
"(42, 34)","(57, 28)","(75, 34)","(77, 54)","(59, 59)","(46, 53)",
"(39, 32)","(42, 54)","(55, 61)","(80, 57)","(79, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:26,155s,1,0,0,0.0
"(42, 34)","(57, 28)","(75, 34)","(77, 54)","(59, 59)","(41, 48)",
2025:01:23_16:23,2025:01:23_16:26,156s,1,0,0,0.0
"(42, 34)","(58, 28)","(73, 33)","(77, 54)","(59, 59)","(41, 48)",
"(39, 32)","(41, 54)","(55, 61)","(81, 55)","(76, 31)","(60, 24)",
2025:01:23_16:23,2025:01:23_16:26,157s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(81, 55)","(77, 31)","(60, 24)",
2025:01:23_16:23,2025:01:23_16:26,158s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,159s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,160s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,161s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,162s,1,0,0,0.0
